no,word,phonetic,pos,meaning
1,black,/blæk/,n.&adj.,黑色（的）
2,blue,/bluː/,n.&adj.,蓝色（的）
3,brown,/braʊn/,n.&adj.,棕色（的）
4,dark,/dɑːk/,n.&adj.,深色（的）
5,golden,/ˈgəʊldən/,n.&adj.,金色（的）
6,green,/griːn/,n.&adj.,绿色（的）
7,grey/gray,/greɪ/,n.&adj.,灰色（的）
8,light,/laɪt/,n.&adj.,浅色（的）
9,orange,/ˈɒrɪndʒ/,n.&adj.,橙色（的）
10,pale,/peɪl/,adj.,浅色的
11,pink,/pɪŋk/,n.&adj.,粉红色（的）
12,purple,/ˈpɜːpl/,n.&adj.,紫色（的）
13,red,/red/,n.&adj.,红色（的）
14,silver,/ˈsɪlvə(r)/,n.&adj.,银色（的）
15,white,/waɪt/,n.&adj.,白色（的）
16,yellow,/ˈjeləʊ/,n.&adj.,黄色（的）
