no,word,phonetic,pos,meaning
1,address,/əˈdres/,n.,（互联网等的）地址
2,at/@,/æt/,prep.,电子邮箱地址中的符号@
3,by post,,,邮寄
4,call,/kɔːl/,v.,呼叫；打电话
5,chat,/tʃæt/,n.&v.,聊天
6,click,/klɪk/,v.,点击
7,computer,/kəmˈpjuːtə(r)/,n.,电脑
8,conversation,/ˌkɒnvəˈseɪʃn/,n.,交谈
9,digital,/ˈdɪdʒɪtl/,n./adj.,数字电视；数码的
10,dot,/dɒt/,n.,点
11,download,/ˌdaʊnˈləʊd/,n.&v.,下载
12,email,/ˈiːmeɪl/,n.&v.,（发）电子邮件
13,envelope,/ˈenvələʊp/,n.,信封
14,file,/faɪl/,n.,文件
15,information,/ˌɪnfəˈmeɪʃən/,n.,信息
16,internet,/ˈɪntənet/,n.,互联网
17,keyboard,/ˈkiːbɔːd/,n.,键盘
18,laptop computer,,,笔记本电脑
19,mouse,/maʊs/,n.,鼠标
20,net,/net/,n.,网络
21,online,/ˌɒnˈlaɪn/,adj.,在线的
22,password,/ˈpɑːswɜːd/,n.,密码
23,printer,/ˈprɪntə(r)/,n.,打印机
24,software,/ˈsɒftweə(r)/,n.,软件
25,talk,/tɔːk/,v.,说话
26,text,/tekst/,n./v.,文本；发短信
27,web,/web/,n.,网络
28,web page,,,网页
29,website,/ˈwebsaɪt/,n.,网站
