no,word,phonetic,pos,meaning
1,advanced,/ədˈvɑːnst/,adj.,高级的
2,beginner,/bɪˈgɪnə(r)/,n.,初学者
3,biology,/baɪˈɒlədʒi/,n.,生物
4,blackboard,/ˈblækbɔːd/,n.,黑板
5,board,/bɔːd/,n.,木板；黑板
6,book,/bʊk/,n.,书
7,chemistry,/ˈkemɪstri/,n.,化学
8,class,/klɑːs/,n.,班级
9,classmate,/ˈklɑːsmeɪt/,n.,同学
10,classroom,/ˈklɑːsruːm/,n.,教室
11,college,/ˈkɒlɪdʒ/,n.,大学
12,course,/kɔːs/,n.,课程
13,desk,/desk/,n.,课桌
14,dictionary,/ˈdɪkʃənri/,n.,字典
15,diploma,/dɪˈpləʊmə/,n.,文凭
16,eraser,/ɪˈreɪzə(r)/,n.,橡皮擦
17,exam,/ɪgˈzæm/,n.,考试
18,examination,/ɪgˌzæmɪˈneɪʃn/,n.,考试
19,geography,/dʒɪˈɒgrəfi/,n.,地理
20,history,/ˈhɪstri/,n.,历史
21,homework,/ˈhəʊmwɜːk/,n.,家庭作业
22,information,/ˌɪnfəˈmeɪʃn/,n.,信息
23,know,/nəʊ/,v.,知道；了解
24,language,/ˈlæŋgwɪdʒ/,n.,语言
25,learn,/lɜːn/,v.,学习
26,lesson,/ˈlesn/,n.,一节课
27,level,/ˈlevl/,n.,水平
28,library,/ˈlaɪbrəri/,n.,图书馆
29,mark,/mɑːk/,n.,标记
30,maths,/mæθs/,n.,数学
31,mathematics,/ˌmæθəˈmætɪks/,n.,数学
32,note,/nəʊt/,n.,笔记
33,physics,/ˈfɪzɪks/,n.,物理
34,practice,/ˈpræktɪs/,n.,练习
35,practise,/ˈpræktɪs/,v.,练习
36,project,/ˈprɒdʒekt/,n.,专题研究
37,pupil,/ˈpjuːpl/,n.,学生
38,remember,/rɪˈmembə(r)/,v.,记得
39,rubber,/ˈrʌbə(r)/,n.,橡皮擦
40,ruler,/ˈruːlə(r)/,n.,尺子
41,school,/skuːl/,n.,学校
42,science,/ˈsaɪəns/,n.,科学
43,student,/ˈstjuːdnt/,n.,学生
44,studies,/ˈstʌdiz/,n.,研究；学业
45,study,/ˈstʌdi/,v.,学习
46,subject,/ˈsʌbdʒɪkt/,n.,主题；科目
47,teach,/tiːtʃ/,v.,教
48,teacher,/ˈtiːtʃə(r)/,n.,老师
49,term,/tɜːm/,n.,学期
50,test,/test/,n.,测试
51,university,/ˌjuːnɪˈvɜːsəti/,n.,大学
