no,word,phonetic,pos,meaning
1,accident,/ˈæksɪdənt/,n.,事故
2,ambulance,/ˈæmbjələns/,n.,救护车
3,arm,/ɑːm/,n.,手臂
4,baby,/ˈbeɪbi/,n.,婴儿
5,back,/bæk/,n.,背部
6,blood,/blʌd/,n.,血
7,body,/ˈbɒdi/,n.,身体
8,brain,/breɪn/,n.,大脑
9,break,/breɪk/,v.,打破；骨折
10,check,/tʃek/,v.,检查
11,clean,/kliːn/,adj./v.,干净的；打扫
12,cold,/kəʊld/,n.,感冒
13,comb,/kəʊm/,n.,梳子
14,cut,/kʌt/,v.,割破；切下
15,danger,/ˈdeɪndʒə(r)/,n.,危险
16,dangerous,/ˈdeɪndʒərəs/,adj.,危险的
17,dead,/ded/,adj.,枯萎的；死去的
18,die,/daɪ/,v.,死亡
19,ear,/ɪə(r)/,n.,耳朵
20,exercise,/ˈeksəsaɪz/,n.,锻炼
21,eye,/aɪ/,n.,眼睛
22,face,/feɪs/,n.,脸
23,fall,/fɔːl/,v.,跌倒；落下
24,feel,/fiːl/,v.,感觉
25,finger,/ˈfɪŋgə(r)/,n.,手指
26,fit,/fɪt/,adj.,健康的
27,foot,/fʊt/,n.,脚
28,hair,/heə(r)/,n.,头发
29,hand,/hænd/,n.,手
30,head,/hed/,n.,头
31,health,/helθ/,n.,健康
32,hear,/hɪə(r)/,v.,听到
33,heart,/hɑːt/,n.,心脏
34,hurt,/hɜːt/,v.,使受伤
35,ill,/ɪl/,adj.,生病的
36,leg,/leg/,n.,腿
37,lie down,,,躺下
38,medicine,/ˈmedsn/,n.,药；医学
39,neck,/nek/,n.,脖子
40,nose,/nəʊz/,n.,鼻子
41,pain,/peɪn/,n.,疼痛
42,problem,/ˈprɒbləm/,n.,问题
43,sick,/sɪk/,adj.,生病的
44,soap,/səʊp/,n.,肥皂
45,stomach,/ˈstʌmək/,n.,胃
46,stomach ache,,,胃痛
47,tooth,/tuːθ/,n.,牙
48,toothache,/ˈtuːθeɪk/,n.,牙痛
49,toothbrush,/ˈtuːθbrʌʃ/,n.,牙刷
50,well,/wel/,adj.,良好的；健康的
