no,word,phonetic,pos,meaning
1,apartment building,,,公寓楼
2,block,/blɒk/,n.,街区；大厦
3,bookshop,/ˈbʊkʃɒp/,n.,书店
4,bookstore,/ˈbʊkstɔː(r)/,n.,书店
5,building,/ˈbɪldɪŋ/,n.,建筑
6,castle,/ˈkɑːsl/,n.,城堡
7,department store,,,百货商店
8,disco,/ˈdɪskəʊ/,n.,迪斯科舞厅（或舞会等）
9,elevator,/ˈelɪveɪtə(r)/,n.,[美]电梯
10,exit,/ˈeksɪt/,v./n.,退出；出口
11,factory,/ˈfæktəri/,n.,工厂
12,grocery store,,,杂货店
13,guest-house,/ˈgest haʊs/,n.,宾馆
14,hospital,/ˈhɒspɪtl/,n.,医院
15,lift,/lɪft/,n.,[英]电梯
16,office,/ˈɒfɪs/,n.,办公室
17,pharmacy,/ˈfɑːməsi/,n.,药房
18,police station,,,警察局
19,railway station,,,火车站
20,shop,/ʃɒp/,n.,商店
21,supermarket,/ˈsuːpəmɑːkɪt/,n.,超市
