no,word,phonetic,pos,meaning
1,assistant,/əˈsɪstənt/,n.,售货员
2,bill,/bɪl/,n.,账单
3,buy,/baɪ/,v.,买
4,cash,/kæʃ/,n./v.,现金；兑现（支票）
5,cent,/sent/,n.,分（美元、欧元等货币单位）
6,change,/tʃeɪndʒ/,n./v.,零钱；兑换；换零钱；退换
7,cheap,/tʃiːp/,adj.,便宜的
8,cheque,/tʃek/,n.,支票
9,close,/kləʊz/,v.,关闭
10,closed,/kləʊzd/,adj.,关闭的
11,cost,/kɒst/,n./v.,费用；花费
12,credit card,,,信用卡
13,customer,/ˈkʌstəmə(r)/,n.,客户；顾客
14,dollar,/ˈdɒlə(r)/,n.,美元
15,euro,/ˈjʊərəʊ/,n.,欧元
16,expensive,/ɪkˈspensɪv/,adj.,昂贵的
17,for sale,,,待售
18,go shopping,,,去购物
19,open,/ˈəʊpən/,v./adj.,打开；开放的；张开的
20,pay for,,,支付
21,penny,/ˈpeni/,n.,（英国）便士（指币值或硬币）
22,pound,/paʊnd/,n.,英镑
23,price,/praɪs/,n.,价格
24,receipt,/rɪˈsiːt/,n.,收据；收入
25,rent,/rent/,n./v.,租金；租用
26,shop assistant,,,店员
27,shopper,/ˈʃɒpə(r)/,n.,购物者
28,shopping,/ˈʃɒpɪŋ/,n.,购物
29,spend,/spend/,v./n.,花费；度过；费用
30,store,/stɔː(r)/,n.,商店
