slug,date,order,cat,book,page,words,errors,correct,accuracy,wcpm,duration,pause_count,pause_ratio,per_group,score,naep
super8/L3/p65,2026-08-25,65,超8,Prince Darling,65,105,5,100,95.2,73,82.14,43,0.306,2.4,58,2
super8/L3/p66,2026-08-25,66,超8,Prince Darling,66,110,4,106,96.4,77,82.92,36,0.383,3.1,61,2
super8/L3/p67,2026-08-25,67,超8,Prince Darling,67,76,4,72,94.7,79,54.48,27,0.403,2.8,61,2
super8/L3/p68,2026-08-27,68,超8,Prince Darling,68,128,9,119,93.0,52,137.5,72,0.325,1.8,50,2
super8/L3/p69,2026-08-27,69,超8,Prince Darling,69,91,10,81,89.0,50,97.38,54,0.374,1.7,45,2
super8/L3/p70-72,2026-08-28,70,超8,Prince Darling,70–72,349,27,322,92.3,59,328.68,186,0.408,1.9,52,2
super8/L3/p73-74,2026-08-29,73,超8,Prince Darling,73–74,228,14,214,93.9,65,198.59,103,0.361,2.2,52,2
super8/L4/p6-8,2026-08-31,6,超8,Heidi,6–8,216,18,198,91.7,51,233.31,133,0.38,1.6,47,2
super8/L4/p9-11,2026-09-01,9,超8,Heidi,9–11,197,17,180,91.4,61,177.56,97,0.329,2.0,50,2
super8/L4/p12-15,2026-09-03,12,超8,Heidi,12–15,472,49,423,89.6,48,529.14,305,0.37,1.5,46,2
super8/L4/p16-17,2026-09-04,16,超8,Heidi,16–17,229,9,220,96.1,60,220.26,137,0.402,1.7,56,2
super8/L4/p18-19,2026-09-05,18,超8,Heidi,18–19,182,13,169,92.9,63,161.16,94,0.343,1.9,54,2
super8/L5/p53-54,2026-09-08,53,超8,格列佛游记,53–54,208,16,192,92.3,70,164.72,77,0.282,2.7,56,2
super8/L5/p55-56,2026-09-10,55,超8,格列佛游记,55–56,238,28,210,88.2,50,254.46,111,0.281,2.1,46,2
super8/L5/p57-58,2026-09-11,57,超8,格列佛游记,57–58,206,29,177,85.9,64,166.75,74,0.298,2.8,48,2
super8/L6/p7-8,2026-09-14,7,超8,绿野仙踪,7–8,230,34,196,85.2,38,311.62,171,0.361,1.3,41,2
super8/L6/p9-10,2026-09-15,9,超8,绿野仙踪,9–10,192,18,174,90.6,71,147.03,64,0.204,3.0,55,2
super8/L6/p11-12,2026-09-17,11,超8,绿野仙踪,11–12,159,7,152,95.6,86,105.98,56,0.317,2.8,60,2
super8/L6/p15-16,2026-09-20,15,超8,绿野仙踪,15–16,207,12,195,94.2,60,193.65,101,0.365,2.0,51,2
