no,word,phonetic,pos,meaning
1,bag,/bæg/,n.,包；袋
2,bathing suit,,,泳衣
3,belt,/belt/,n.,腰带
4,blouse,/blaʊz/,n.,女式衬衫
5,boot,/buːt/,n.,靴子
6,bracelet,/ˈbreɪslət/,n.,手镯
7,cap,/kæp/,n.,帽子
8,chain,/tʃeɪn/,n.,链子
9,clothes,/kləʊðz/,n.,衣服
10,coat,/kəʊt/,n.,外套
11,costume,/ˈkɒstjuːm/,n.,服装；泳衣
12,dress,/dres/,n.,连衣裙
13,earring,/ˈɪərɪŋ/,n.,耳环
14,fashion,/ˈfæʃn/,n.,时尚
15,get dressed,,,穿衣服
16,glasses,/ˈglɑːsɪz/,n.,眼镜
17,glove,/glʌv/,n.,手套
18,handbag,/ˈhændbæg/,n.,手提包
19,hat,/hæt/,n.,帽子
20,jacket,/ˈdʒækɪt/,n.,夹克
21,jeans,/dʒiːnz/,n.,牛仔裤
22,jewellery/jewelry,/ˈdʒuːəlri/,n.,珠宝；首饰
23,jumper,/ˈdʒʌmpə(r)/,n.,套头衫
24,kit,/kɪt/,n.,全套衣服及装备
25,necklace,/ˈnekləs/,n.,项链
26,pocket,/ˈpɒkɪt/,n.,口袋
27,purse,/pɜːs/,n.,钱包
28,raincoat,/ˈreɪnkəʊt/,n.,雨衣
29,ring,/rɪŋ/,n.,戒指
30,scarf,/skɑːf/,n.,围巾
31,shirt,/ʃɜːt/,n.,衬衫
32,shoes,/ʃuːz/,n.,鞋子
33,shorts,/ʃɔːts/,n.,短裤
34,skirt,/skɜːt/,n.,裙子
35,sock,/sɒk/,n.,袜子
36,suit,/suːt/,n.,西装
37,sunglasses,/ˈsʌnglɑːsɪz/,n.,太阳镜
38,sweater,/ˈswetə(r)/,n.,毛衣
39,swimming costume,,,泳衣
40,swimsuit,/ˈswɪmsuːt/,n.,泳衣（女式）
41,tie,/taɪ/,n.,领带
42,tights,/taɪts/,n.,连裤袜；紧身裤
43,trainers,/ˈtreɪnə(r)z/,n.,运动鞋
44,trousers,/ˈtraʊzə(r)z/,n.,裤子
45,try on,,,试穿
46,T-shirt,/ˈtiː ʃɜːt/,n.,T恤衫
47,umbrella,/ʌmˈbrelə/,n.,雨伞
48,uniform,/ˈjuːnɪfɔːm/,n.,制服
49,wallet,/ˈwɒlɪt/,n.,钱包
50,watch,/wɒtʃ/,n.,手表
51,wear,/weə(r)/,v.,穿
