no,word,phonetic,pos,meaning
1,act,/ækt/,v.,扮演
2,adventure,/ədˈventʃə(r)/,n.&v.,冒险
3,ad,/æd/,n.,广告
4,advertisement,/ədˈvɜːtɪsmənt/,n.,广告
5,art,/ɑːt/,n.,艺术
6,board game,,,棋盘游戏
7,cartoon,/kɑːˈtuːn/,n.,动画片
8,chess,/tʃes/,n.,国际象棋
9,cinema,/ˈsɪnəmə/,n.,电影；电影院
10,classical music,,,古典音乐
11,concert,/ˈkɒnsət/,n.,音乐会
12,dancer,/ˈdɑːnsə(r)/,n.,舞者
13,drawing,/ˈdrɔːɪŋ/,n.,图画
14,drum,/drʌm/,n.,鼓
15,exhibition,/ˌeksɪˈbɪʃn/,n.,展览
16,film,/fɪlm/,n./v.,电影；拍摄电影
17,fun,/fʌn/,adj.,有趣的
18,hip hop,,,嘻哈舞曲；嘻哈文化
19,instrument,/ˈɪnstrəmənt/,n.,乐器
20,laugh,/lɑːf/,v.,笑
21,listen to,,,听
22,look at,,,看
23,news,/njuːz/,n.,新闻
24,newspaper,/ˈnjuːzpeɪpə(r)/,n.,报纸
25,opera,/ˈɒprə/,n.,歌剧
26,photography,/fəˈtɒgrəfi/,n.,摄影
27,piano,/piˈænəʊ/,n.,钢琴
28,picture,/ˈpɪktʃə(r)/,n.,图片
29,play,/pleɪ/,n.,游戏；比赛；演出
30,pop music,,,流行音乐
31,programme,/ˈprəʊgræm/,n.,节目；计划
32,read,/riːd/,v.,读
33,rock concert,,,摇滚音乐会
34,screen,/skriːn/,n.,屏幕
35,show,/ʃəʊ/,n.,表演
36,sing,/sɪŋ/,v.,唱
37,song,/sɒŋ/,n.,歌曲
38,television/TV,/ˈtelɪvɪʒn/ /ˌtiːˈviː/,n.,电视
39,watch,/wɒtʃ/,v.,观看
