no,word,phonetic,pos,meaning
1,aunt,/ɑːnt/,n.,阿姨
2,boy,/bɔɪ/,n.,男孩
3,brother,/ˈbrʌðə(r)/,n.,兄弟
4,child,/tʃaɪld/,n.,孩子
5,cousin,/ˈkʌzn/,n.,堂/表兄弟姐妹
6,dad(dy),/dæd/ /ˈdædi/,n.,爸爸
7,daughter,/ˈdɔːtə(r)/,n.,女儿
8,family,/ˈfæməli/,n.,家庭
9,father,/ˈfɑːðə(r)/,n.,父亲
10,friend,/frend/,n.,朋友
11,girl,/gɜːl/,n.,女孩
12,grandchild,/ˈgræntʃaɪld/,n.,（外）孙
13,grand(d)ad,/ˈgrændæd/,n.,（外）祖父
14,granddaughter,/ˈgrændɔːtə(r)/,n.,（外）孙女
15,grandfather,/ˈgrænfɑːðə(r)/,n.,（外）祖父
16,grandma,/ˈgrænmɑː/,n.,（外）祖母
17,grandmother,/ˈgrænmʌðə(r)/,n.,（外）祖母
18,grandpa,/ˈgrænpɑː/,n.,（外）祖父
19,grandparent,/ˈgrænpeərənt/,n.,（外）祖父/母
20,grandson,/ˈgrænsʌn/,n.,（外）孙子
21,granny,/ˈgræni/,n.,（外）祖母
22,group,/gruːp/,n.,团体
23,guy,/gaɪ/,n.,家伙
24,husband,/ˈhʌzbənd/,n.,丈夫
25,love,/lʌv/,n.&v.,爱
26,Miss,/mɪs/,n.,小姐
27,mother,/ˈmʌðə(r)/,n.,母亲
28,Mr,/ˈmɪstə(r)/,abbr.,先生
29,Mrs,/ˈmɪsɪz/,abbr.,夫人
30,Ms,/mɪz/,abbr.,女士
31,mum(my),/mʌm/ /ˈmʌmi/,n.,妈妈
32,neighbour,/ˈneɪbə(r)/,n.,邻居
33,parent,/ˈpeərənt/,n.,父亲（或母亲）
34,pen-friend,/ˈpenfrend/,n.,笔友
35,sister,/ˈsɪstə(r)/,n.,姐妹
36,son,/sʌn/,n.,儿子
37,surname,/ˈsɜːneɪm/,n.,姓氏
38,teenager,/ˈtiːneɪdʒə(r)/,n.,青少年
39,uncle,/ˈʌŋkl/,n.,叔叔
40,wife,/waɪf/,n.,妻子
