no,word,phonetic,pos,meaning
1,a piece of cake,,,一块蛋糕
2,apple,/ˈæpl/,n.,苹果
3,bake,/beɪk/,v.,烤
4,banana,/bəˈnɑːnə/,n.,香蕉
5,barbecue,/ˈbɑːbɪkjuː/,v./n.,烧烤；烧烤野餐
6,biscuit,/ˈbɪskɪt/,n.,饼干
7,boil,/bɔɪl/,n.,煮沸
8,boiled,/bɔɪld/,adj.,煮熟的
9,bottle,/ˈbɒtl/,n.,瓶子
10,bread,/bred/,n.,面包
11,breakfast,/ˈbrekfəst/,n.,早餐
12,burger,/ˈbɜːgə(r)/,n.,汉堡
13,butter,/ˈbʌtə(r)/,n.,黄油
14,cake,/keɪk/,n.,蛋糕
15,can,/kæn/,n.,罐头
16,candy,/ˈkændi/,n.,糖果
17,carrot,/ˈkærət/,n.,胡萝卜
18,cereal,/ˈsɪəriəl/,n.,谷类食物
19,cheese,/tʃiːz/,n.,奶酪
20,chef,/ʃef/,n.,厨师
21,chicken,/ˈtʃɪkɪn/,n.,鸡肉
22,chilli,/ˈtʃɪli/,n.,辣椒
23,chips,/tʃɪps/,n.,薯条
24,chocolate,/ˈtʃɒklət/,n.,巧克力
25,coffee,/ˈkɒfi/,n.,咖啡
26,cola,/ˈkəʊlə/,n.,可乐
27,cream,/kriːm/,n.,奶油
28,cup,/kʌp/,n.,杯子
29,curry,/ˈkʌri/,n.,咖喱
30,cut,/kʌt/,n.,（从动物躯体上）割下的一块肉
31,delicious,/dɪˈlɪʃəs/,adj.,美味的
32,dessert,/dɪˈzɜːt/,n.,甜点
33,dinner,/ˈdɪnə(r)/,n.,晚餐
34,dish,/dɪʃ/,n.,盘子；餐具
35,drink,/drɪŋk/,v./n.,喝；饮料
36,eat,/iːt/,v.,吃
37,egg,/eg/,n.,蛋
38,fish,/fɪʃ/,n.,鱼
39,food,/fuːd/,n.,食物
40,fork,/fɔːk/,n.,叉子
41,fried,/fraɪd/,adj.,油炸的
42,fruit,/fruːt/,n.,水果
43,garlic,/ˈgɑːlɪk/,n.,大蒜
44,glass,/glɑːs/,n.,玻璃杯；酒杯
45,grape,/greɪp/,n.,葡萄
46,grilled,/grɪld/,adj.,烤的
47,honey,/ˈhʌni/,n.,蜂蜜
48,ice,/aɪs/,n.,冰冻甜品
49,ice cream,,,冰激凌
50,jam,/dʒæm/,n.,果酱
51,juice,/dʒuːs/,n.,果汁
52,knife,/naɪf/,n.,刀
53,lemon,/ˈlemən/,n.,柠檬
54,lemonade,/ˌleməˈneɪd/,n.,柠檬汽水
55,lunch,/lʌntʃ/,n.,午餐
56,main course,,,主菜
57,meal,/miːl/,n.,一餐，一顿饭
58,meat,/miːt/,n.,肉
59,melon,/ˈmelən/,n.,瓜
60,menu,/ˈmenjuː/,n.,菜单
61,milk,/mɪlk/,n.,牛奶
62,mineral water,,,矿泉水
63,mushroom,/ˈmʌʃrʊm/,n.,蘑菇
64,oil,/ɔɪl/,n.,食用油
65,omelette,/ˈɒmlət/,n.,煎蛋卷
66,onion,/ˈʌnjən/,n.,洋葱
67,orange,/ˈɒrɪndʒ/,n.,橙子
68,pasta,/ˈpæstə/,n.,意大利面
69,pear,/peə(r)/,n.,梨
70,pepper,/ˈpepə(r)/,n.,甜椒；胡椒粉
71,picnic,/ˈpɪknɪk/,n.,野餐
72,pizza,/ˈpiːtsə/,n.,比萨饼
73,plate,/pleɪt/,n.,盘子；碟子
74,potato,/pəˈteɪtəʊ/,n.,土豆
75,rice,/raɪs/,n.,米饭
76,roast,/rəʊst/,v./adj.,烤；烤制的
77,salad,/ˈsæləd/,n.,沙拉
78,salt,/sɔːlt/,n.,盐
79,sandwich,/ˈsænwɪdʒ/,n.,三明治
80,sauce,/sɔːs/,n.,调味汁
81,sausage,/ˈsɒsɪdʒ/,n.,香肠
82,slice,/slaɪs/,n.,薄片
83,snack,/snæk/,n.,小吃；零食
84,soup,/suːp/,n.,汤
85,steak,/steɪk/,n.,牛排
86,strawberry,/ˈstrɔːbəri/,n.,草莓
87,sugar,/ˈʃʊgə(r)/,n.,糖
88,tea,/tiː/,n.,茶
89,thirsty,/ˈθɜːsti/,adj.,口渴的
90,toast,/təʊst/,n.,烤面包；干杯
91,tomato,/təˈmɑːtəʊ/,n.,番茄
92,vegetable,/ˈvedʒtəbl/,n.,蔬菜
93,waiter,/ˈweɪtə(r)/,n.,（男）服务员
94,waitress,/ˈweɪtrəs/,n.,（女）服务员
95,wash up,,,洗餐具
96,yog(h)urt,/ˈjɒgət/,n.,酸奶
