no,word,phonetic,pos,meaning
1,camp,/kæmp/,n.&v.,露营
2,camping,/ˈkæmpɪŋ/,n.,野营
3,club,/klʌb/,n.,俱乐部
4,collect,/kəˈlekt/,v.,收集
5,dance,/dɑːns/,n./v.,舞蹈；跳舞
6,draw,/drɔː/,v.,画
7,festival,/ˈfestɪvl/,n.,节日
8,go out,,,出去
9,guitar,/gɪˈtɑː(r)/,n.,吉他
10,hobby,/ˈhɒbi/,n.,爱好
11,join,/dʒɔɪn/,v.,加入
12,member,/ˈmembə(r)/,n.,成员
13,music,/ˈmjuːzɪk/,n.,音乐
14,paint,/peɪnt/,n./v.,油漆；用颜料画
15,party,/ˈpɑːti/,n.,聚会；派对
16,photograph,/ˈfəʊtəgrɑːf/,n./v.,照片；摄影
17,quiz,/kwɪz/,n.,智力游戏；测验
18,tent,/tent/,n.,帐篷
19,video game,,,电子游戏
