no,word,phonetic,pos,meaning
1,apartment,/əˈpɑːtmənt/,n.,公寓
2,armchair,/ˈɑːmtʃeə(r)/,n.,扶手椅
3,bath(tub),/bɑːθ/ /ˈbɑːθtʌb/,n.,浴缸
4,bathroom,/ˈbɑːθruːm/,n.,浴室
5,bed,/bed/,n.,床
6,bedroom,/ˈbedruːm/,n.,卧室
7,bin,/bɪn/,n.,垃圾箱
8,blanket,/ˈblæŋkɪt/,n.,毯子
9,bookcase,/ˈbʊkkeɪs/,n.,书柜
10,bookshelf,/ˈbʊkʃelf/,n.,书架
11,bowl,/bəʊl/,n.,碗
12,box,/bɒks/,n.,盒子
13,carpet,/ˈkɑːpɪt/,n.,地毯
14,chair,/tʃeə(r)/,n.,椅子
15,cupboard,/ˈkʌbəd/,n.,橱柜
16,curtain,/ˈkɜːtn/,n.,窗帘
17,dining room,,,餐厅
18,door,/dɔː(r)/,n.,门
19,downstairs,/ˌdaʊnˈsteəz/,adj.,楼下的
20,drawer,/ˈdrɔːə(r)/,n.,抽屉
21,entrance,/ˈentrəns/,n.,入口
22,flat,/flæt/,n.,公寓；平地
23,floor,/flɔː(r)/,n.,地板
24,furniture,/ˈfɜːnɪtʃə(r)/,n.,家具
25,garden,/ˈgɑːdn/,n.,花园
26,gate,/geɪt/,n.,门
27,hall,/hɔːl/,n.,大厅
28,home,/həʊm/,n.,家
29,house,/haʊs/,n.,房子
30,key,/kiː/,n.,钥匙
31,kitchen,/ˈkɪtʃɪn/,n.,厨房
32,light,/laɪt/,n.,灯
33,live,/lɪv/,v.,生活；居住
34,living room,,,客厅；起居室
35,pillow,/ˈpɪləʊ/,n.,枕头
36,refrigerator,/rɪˈfrɪdʒəreɪtə(r)/,n.,冰箱
37,roof,/ruːf/,n.,屋顶
38,room,/ruːm/,n.,房间
39,rubbish,/ˈrʌbɪʃ/,n.,垃圾
40,safe,/seɪf/,adj.,安全的
41,shelf,/ʃelf/,n.,架子
42,shower,/ˈʃaʊə(r)/,v.&n.,（洗）淋浴
43,sink,/sɪŋk/,n.,水槽
44,sitting room,,,客厅；起居室
45,sofa,/ˈsəʊfə/,n.,沙发
46,stay,/steɪ/,v.,暂住；停留
47,toilet,/ˈtɔɪlət/,n.,厕所
48,towel,/ˈtaʊəl/,n.,毛巾
