no,word,phonetic,pos,meaning
1,able,/ˈeɪbl/,adj.,有能力的
2,afraid,/əˈfreɪd/,adj.,害怕的
3,alone,/əˈləʊn/,adj.,独自一人的；孤独的
4,amazing,/əˈmeɪzɪŋ/,adj.,令人惊异的
5,angry,/ˈæŋgri/,adj.,愤怒的
6,bad,/bæd/,adj.,坏的
7,beautiful,/ˈbjuːtɪfl/,adj.,美丽的
8,better,/ˈbetə(r)/,adj.,更好的
9,big,/bɪg/,adj.,大的
10,bored,/bɔːd/,adj.,厌倦的
11,boring,/ˈbɔːrɪŋ/,adj.,无聊的；令人厌烦的
12,brave,/breɪv/,adj.,勇敢的
13,brilliant,/ˈbrɪliənt/,adj.,杰出的；闪耀的
14,busy,/ˈbɪzi/,adj.,忙碌的
15,careful,/ˈkeəfl/,adj.,小心的
16,clear,/klɪə(r)/,adj.,清晰的
17,clever,/ˈklevə(r)/,adj.,聪明的
18,cool,/kuːl/,adj.,凉爽的；酷的
19,different,/ˈdɪfrənt/,adj.,不同的
20,difficult,/ˈdɪfɪkəlt/,adj.,困难的
21,excellent,/ˈeksələnt/,adj.,优秀的
22,famous,/ˈfeɪməs/,adj.,著名的
23,fast,/fɑːst/,adj.,快速的
24,favourite,/ˈfeɪvərɪt/,adj.,最喜欢的
25,fine,/faɪn/,adj.,好的；健康的
26,free,/friː/,adj.,免费的；自由的
27,friendly,/ˈfrendli/,adj.,友好的
28,funny,/ˈfʌni/,adj.,有趣的
29,good,/gʊd/,adj.,好的
30,great,/greɪt/,adj.,伟大的
31,happy,/ˈhæpi/,adj.,快乐的
32,hard,/hɑːd/,adj.,努力的；困难的
33,heavy,/ˈhevi/,adj.,重的
34,high,/haɪ/,adj.,高的
35,hungry,/ˈhʌŋgri/,adj.,饥饿的
36,important,/ɪmˈpɔːtnt/,adj.,重要的
37,interested,/ˈɪntrəstɪd/,adj.,感兴趣的
38,interesting,/ˈɪntrəstɪŋ/,adj.,有趣的
39,kind,/kaɪnd/,adj.,体贴的；宽容的
40,lovely,/ˈlʌvli/,adj.,可爱的
41,lucky,/ˈlʌki/,adj.,幸运的
42,married,/ˈmærid/,adj.,已婚的
43,modern,/ˈmɒdn/,adj.,现代的
44,nice,/naɪs/,adj.,美好的
45,noisy,/ˈnɔɪzi/,adj.,嘈杂的
46,old,/əʊld/,adj.,老的
47,pleasant,/ˈpleznt/,adj.,令人愉快的
48,poor,/pʊə(r)/,adj.,可怜的
49,pretty,/ˈprɪti/,adj.,漂亮的
50,quick,/kwɪk/,adj.,快速的
51,quiet,/ˈkwaɪət/,adj.,安静的
52,ready,/ˈredi/,adj.,准备好的
53,real,/ˈriːəl/,adj.,真正的
54,rich,/rɪtʃ/,adj.,富有的
55,right,/raɪt/,adj.,正确的
56,slow,/sləʊ/,adj.,慢的
57,small,/smɔːl/,adj.,小的
58,soft,/sɒft/,adj.,柔软的
59,sorry,/ˈsɒri/,adj.,抱歉的
60,special,/ˈspeʃl/,adj.,特殊的
61,strange,/streɪndʒ/,adj.,奇怪的
62,strong,/strɒŋ/,adj.,强大的
63,sure,/ʃʊə(r)/,adj.,确定的
64,sweet,/swiːt/,adj.,可爱的；善良的
65,tall,/tɔːl/,adj.,高的
66,terrible,/ˈterəbl/,adj.,可怕的
67,tired,/ˈtaɪəd/,adj.,疲倦的
68,unhappy,/ʌnˈhæpi/,adj.,不开心的
69,useful,/ˈjuːsfl/,adj.,有用的
70,worried,/ˈwʌrid/,adj.,担心的
71,wrong,/rɒŋ/,adj.,错误的
72,young,/jʌŋ/,adj.,年轻的
