no,word,phonetic,pos,meaning
1,air,/eə(r)/,n.,空气
2,autumn,/ˈɔːtəm/,n.,秋天
3,beach,/biːtʃ/,n.,海滩
4,bee,/biː/,n.,蜜蜂
5,country,/ˈkʌntri/,n.,乡村
6,countryside,/ˈkʌntrisaɪd/,n.,乡村
7,desert,/ˈdezət/,n.,沙漠
8,east,/iːst/,n.&adj.,东方（的）
9,fire,/ˈfaɪə(r)/,n.,火；火灾
10,flower,/ˈflaʊə(r)/,n.,花
11,grass,/grɑːs/,n.,草
12,grow,/grəʊ/,v.,成长；生长
13,ice,/aɪs/,n.,冰
14,moon,/muːn/,n.,月亮
15,north,/nɔːθ/,n.&adj.,北方（的）
16,plant,/plɑːnt/,n.,植物
17,rabbit,/ˈræbɪt/,n.,兔子
18,sky,/skaɪ/,n.,天空
19,south,/saʊθ/,n.&adj.,南方（的）
20,space,/speɪs/,n.,空地；太空
21,spring,/sprɪŋ/,n.,春天
22,star,/stɑː(r)/,n.,星星
23,summer,/ˈsʌmə(r)/,n.,夏天
24,tree,/triː/,n.,树
25,water,/ˈwɔːtə(r)/,n.,雨水；水域
26,west,/west/,n.&adj.,西方（的）
27,winter,/ˈwɪntə(r)/,n.,冬天
28,wool,/wʊl/,n.,羊毛
29,world,/wɜːld/,n.,世界
