no,word,phonetic,pos,meaning
1,afternoon,/ˌɑːftəˈnuːn/,n.,下午
2,a.m./p.m.,/ˌeɪ ˈem//ˌpiː ˈem/,abbr.,上午/下午
3,appointment,/əˈpɔɪntmənt/,n.,预约；约定
4,birthday,/ˈbɜːθdeɪ/,n.,生日
5,calendar,/ˈkælɪndə(r)/,n.,日历
6,century,/ˈsentʃəri/,n.,世纪
7,daily,/ˈdeɪli/,adv.&adj.,每日（的）
8,date,/deɪt/,n.,日期
9,day,/deɪ/,n.,一天
10,evening,/ˈiːvnɪŋ/,n.,晚上
11,half past,,,……点半
12,holidays,/ˈhɒlədeɪz/,n.,假期
13,hour,/ˈaʊə(r)/,n.,小时
14,January,/ˈdʒænjuəri/,n.,一月
15,February,/ˈfebruəri/,n.,二月
16,March,/mɑːtʃ/,n.,三月
17,April,/ˈeɪprəl/,n.,四月
18,May,/meɪ/,n.,五月
19,June,/dʒuːn/,n.,六月
20,July,/dʒuˈlaɪ/,n.,七月
21,August,/ˈɔːgəst/,n.,八月
22,September,/sepˈtembə(r)/,n.,九月
23,October,/ɒkˈtəʊbə(r)/,n.,十月
24,November,/nəʊˈvembə(r)/,n.,十一月
25,December,/dɪˈsembə(r)/,n.,十二月
26,midnight,/ˈmɪdnaɪt/,n.,午夜
27,minute,/ˈmɪnɪt/,n.,分钟
28,moment,/ˈməʊmənt/,n.,时刻
29,Monday,/ˈmʌndeɪ/,n.,星期一
30,Tuesday,/ˈtjuːzdeɪ/,n.,星期二
31,Wednesday,/ˈwenzdeɪ/,n.,星期三
32,Thursday,/ˈθɜːzdeɪ/,n.,星期四
33,Friday,/ˈfraɪdeɪ/,n.,星期五
34,Saturday,/ˈsætədeɪ/,n.,星期六
35,Sunday,/ˈsʌndeɪ/,n.,星期日
36,month,/mʌnθ/,n.,月
37,monthly,/ˈmʌnθli/,adv.&adj.,每月一次（的）
38,morning,/ˈmɔːnɪŋ/,n.,早晨
39,night,/naɪt/,n.,晚上
40,noon,/nuːn/,n.,中午
41,o'clock,/əˈklɒk/,abbr.,……点钟
42,past,/pɑːst/,adj./prep.,过去的；晚于
43,quarter past,,,……点十五分
44,quarter to,,,差十五分到……点
45,second,/ˈsekənd/,n.,秒
46,time,/taɪm/,n.,时间
47,today,/təˈdeɪ/,n.,今天
48,tomorrow,/təˈmɒrəʊ/,n.,明天
49,tonight,/təˈnaɪt/,n.,今晚
50,week,/wiːk/,n.,周
51,weekday,/ˈwiːkdeɪ/,n.,工作日
52,weekend,/ˌwiːkˈend/,n.,周末
53,weekly,/ˈwiːkli/,adv.&adj.,每周一次（的）
54,working hours,,,工作时间
55,year,/jɪə(r)/,n.,年
56,yesterday,/ˈjestədeɪ/,n.,昨天
