no,word,phonetic,pos,meaning
1,(aero)plane,/pleɪn//ˈeərəpleɪn/,n.,飞机
2,(air)plane,/pleɪn//ˈeə(r)pleɪn/,n.,飞机
3,backpack,/ˈbækpæk/,n.,背包
4,boat,/bəʊt/,n.,船
5,bus,/bʌs/,n.,公共汽车
6,car,/kɑː(r)/,n.,小汽车
7,case,/keɪs/,n.,箱；情况；实例
8,coach,/kəʊtʃ/,n.,长途汽车
9,country,/ˈkʌntri/,n.,国家
10,delay,/dɪˈleɪ/,n.&v.,延期
11,delayed,/dɪˈleɪd/,adj.,延时的
12,drive,/draɪv/,v.,驾驶
13,driving/driver's licence,,,驾驶执照
14,engine,/ˈendʒɪn/,n.,引擎
15,far,/fɑː(r)/,adj.,远的
16,flight,/flaɪt/,n.,飞行；班机
17,fly,/flaɪ/,v.,飞
18,helicopter,/ˈhelɪkɒptə(r)/,n.,直升机
19,journey,/ˈdʒɜːni/,n.,旅程
20,leave,/liːv/,v.,离开
21,left,/left/,n.&adj.,左边（的）
22,luggage,/ˈlʌgɪdʒ/,n.,行李
23,machine,/məˈʃiːn/,n.,机器；机械
24,map,/mæp/,n.,地图
25,mirror,/ˈmɪrə(r)/,n.,后视镜
26,miss,/mɪs/,v.,赶不上；错过
27,motorbike,/ˈməʊtəbaɪk/,n.,摩托车
28,motorway,/ˈməʊtəweɪ/,n.,高速公路
29,move,/muːv/,n.,移动
30,oil,/ɔɪl/,n.,油；石油
31,park,/pɑːk/,v.,停车
32,passenger,/ˈpæsɪndʒə(r)/,n.,乘客
33,passport,/ˈpɑːspɔːt/,n.,护照
34,petrol,/ˈpetrəl/,n.,汽油
35,platform,/ˈplætfɔːm/,n.,站台；平台
36,railway,/ˈreɪlweɪ/,n.,铁路
37,repair,/rɪˈpeə(r)/,v.,修复；修理
38,return,/rɪˈtɜːn/,n.&v.,返回
39,ride,/raɪd/,v.,骑；搭乘；驾驶
40,right,/raɪt/,n.&adj.,右边（的）
41,road,/rəʊd/,n.,公路；马路
42,roundabout,/ˈraʊndəbaʊt/,n.,环形交叉路口
43,seat,/siːt/,n.,座位
44,ship,/ʃɪp/,n.,船
45,station,/ˈsteɪʃn/,n.,车站
46,stop,/stɒp/,v./n.,停止；车站
47,straight on,,,一直向前
48,street,/striːt/,n.,街道
49,suitcase,/ˈsuːtkeɪs/,n.,手提箱
50,taxi,/ˈtæksi/,n.,出租车
51,tour,/tʊə(r)/,n.,旅游
52,tour guide,,,导游
53,tourist,/ˈtʊərɪst/,n.,游客
54,tourist information centre,,,旅游信息中心
55,traffic,/ˈtræfɪk/,n.,交通
56,traffic light,,,红绿灯
57,train,/treɪn/,n.,火车
58,tram,/træm/,n.,有轨电车
59,travel,/ˈtrævl/,v.&n.,旅行
60,trip,/trɪp/,n.,（尤指短程往返的）旅行
61,tyre,/ˈtaɪə(r)/,n.,轮胎
62,underground,/ˈʌndəgraʊnd/,n.,[英]地铁
63,visit,/ˈvɪzɪt/,v.,访问
64,visitor,/ˈvɪzɪtə(r)/,n.,访问者；参观者
65,way,/weɪ/,n.,路线；方式
66,wheel,/wiːl/,n.,车轮
67,window,/ˈwɪndəʊ/,n.,窗户；窗玻璃
