no,word,phonetic,pos,meaning
1,actor,/ˈæktə(r)/,n.,演员
2,artist,/ˈɑːtɪst/,n.,艺术家
3,boss,/bɒs/,n.,老板
4,break,/breɪk/,n.,休息；短假
5,business,/ˈbɪznəs/,n.,商业；生意
6,businessman,/ˈbɪznəsmæn/,n.,商人
7,businesswoman,/ˈbɪznəswʊmən/,n.,女商人
8,chemist,/ˈkemɪst/,n.,药剂师；化学家
9,cleaner,/ˈkliːnə(r)/,n.,清洁工
10,coach,/kəʊtʃ/,n.,教练
11,company,/ˈkʌmpəni/,n.,公司
12,cook,/kʊk/,n./v.,厨师；做饭
13,dentist,/ˈdentɪst/,n.,牙医
14,doctor,/ˈdɒktə(r)/,n.,医生
15,Dr,/ˈdɒktə(r)/,abbr.,医生
16,driver,/ˈdraɪvə(r)/,n.,驾驶员
17,earn,/ɜːn/,v.,赚得
18,engineer,/ˌendʒɪˈnɪə(r)/,n.,工程师
19,explorer,/ɪkˈsplɔːrə(r)/,n.,探险家
20,farmer,/ˈfɑːmə(r)/,n.,农民
21,footballer,/ˈfʊtbɔːlə(r)/,n.,足球运动员
22,football player,,,足球运动员
23,guest,/gest/,n.,特别嘉宾；客串演员
24,guide,/gaɪd/,n.,指南；向导
25,instructions,/ɪnˈstrʌkʃnz/,n.,指示；指令
26,job,/dʒɒb/,n.,工作；职业
27,journalist,/ˈdʒɜːnəlɪst/,n.,记者
28,king,/kɪŋ/,n.,国王
29,manager,/ˈmænɪdʒə(r)/,n.,经理
30,mechanic,/məˈkænɪk/,n.,机械师
31,meeting,/ˈmiːtɪŋ/,n.,会议；会面
32,musician,/mjuˈzɪʃn/,n.,音乐家
33,nurse,/nɜːs/,n.,护士
34,occupation,/ˌɒkjuˈpeɪʃn/,n.,职业
35,painter,/ˈpeɪntə(r)/,n.,画家
36,photographer,/fəˈtɒgrəfə(r)/,n.,摄影师
37,pilot,/ˈpaɪlət/,n.,飞行员
38,police officer,,,警察
39,queen,/kwiːn/,n.,女王
40,receptionist,/rɪˈsepʃənɪst/,n.,接待员
41,secretary,/ˈsekrətri/,n.,秘书
42,singer,/ˈsɪŋə(r)/,n.,歌手
43,staff,/stɑːf/,n.,全体职工（或雇员）
44,tennis player,,,网球运动员
45,tour guide,,,导游
46,work,/wɜːk/,n.,工作
47,worker,/ˈwɜːkə(r)/,n.,工人
48,writer,/ˈraɪtə(r)/,n.,作家
